id,name,plan,country,created_at
1,Silva Inc,PRO,IN,2023-05-27 02:20:00+0000
2,Cohen Group,PRO,BR,2023-08-14 04:07:00+0000
3,Silva Inc,STARTER,NG,2023-12-01 06:39:00+0000
4,Mori Labs,ENTERPRISE,NG,2023-05-12 19:18:00+0000
5,Haddad Labs,FREE,DE,2024-02-02 17:46:00+0000
6,Patel LLC,ENTERPRISE,DE,2023-10-12 22:43:00+0000
7,Khan Group,STARTER,SE,2023-02-24 10:13:00+0000
8,Smith Labs,PRO,GB,2023-03-06 01:17:00+0000
9,Cohen Group,FREE,GB,2023-01-05 00:15:00+0000
10,Patel LLC,STARTER,DE,2023-06-01 17:07:00+0000
11,Smith LLC,PRO,GB,2024-01-31 14:26:00+0000
12,Larsson Group,FREE,IN,2023-12-26 19:22:00+0000
13,Haddad LLC,ENTERPRISE,SE,2023-05-25 02:37:00+0000
14,Nguyen Group,PRO,BR,2023-03-05 06:04:00+0000
15,Mori Group,FREE,BR,2023-05-15 18:42:00+0000
16,Nguyen Labs,PRO,NG,2023-06-08 22:23:00+0000
17,Patel Inc,FREE,NG,2023-01-26 01:42:00+0000
18,Haddad LLC,PRO,IN,2023-09-01 07:13:00+0000
19,Silva LLC,PRO,SE,2023-05-13 21:59:00+0000
20,Garcia Inc,STARTER,JP,2023-01-14 04:50:00+0000
21,Garcia Group,STARTER,DE,2023-01-03 16:02:00+0000
22,Garcia LLC,PRO,GB,2023-01-16 03:45:00+0000
23,Garcia Group,ENTERPRISE,GB,2024-01-13 09:33:00+0000
24,Garcia Inc,STARTER,GB,2023-04-24 16:16:00+0000
25,Larsson Inc,ENTERPRISE,JP,2023-09-15 04:53:00+0000
26,Cohen Labs,PRO,SE,2023-02-08 01:46:00+0000
27,Okafor Labs,ENTERPRISE,GB,2023-03-23 11:33:00+0000
28,Mori Labs,STARTER,IN,2023-07-06 09:46:00+0000
29,Garcia LLC,FREE,IN,2023-11-15 20:28:00+0000
30,Okafor Inc,PRO,SE,2023-03-11 11:09:00+0000
31,Silva LLC,PRO,NG,2024-01-18 00:06:00+0000
32,Smith Group,STARTER,JP,2023-04-29 00:39:00+0000
33,Rossi Inc,FREE,GB,2023-05-30 04:24:00+0000
34,Khan Labs,FREE,SE,2023-09-09 11:08:00+0000
35,Okafor LLC,STARTER,US,2023-12-07 17:29:00+0000
36,Smith LLC,STARTER,SE,2023-01-30 17:54:00+0000
37,Mori LLC,PRO,JP,2023-04-23 09:29:00+0000
38,Larsson Labs,FREE,NG,2023-04-14 08:53:00+0000
39,Garcia Labs,PRO,NG,2023-01-19 20:48:00+0000
40,Haddad Labs,ENTERPRISE,IN,2024-01-10 18:47:00+0000
